32505|The Systematics of the Frogs of the Hyla Rubra Group in Middle America|2010-05-24|http://www.gutenberg.org/ebooks/32505
45920|Very Woman (Sixtine): A Cerebral Novel|2014-06-09|http://www.gutenberg.org/ebooks/45920
2465|Carmen|2006-03-28|http://www.gutenberg.org/ebooks/2465
40127|Joe Miller's Jests, or The Wits Vade-Mecum|2012-07-02|http://www.gutenberg.org/ebooks/40127
28475|Notes and Queries, Number 193, July 9, 1853 A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.|2009-04-02|http://www.gutenberg.org/ebooks/28475
36753|The Cavaliers of Virginia, vol. 2 of 2 or, The Recluse of Jamestown; An historical romance of the Old Dominion|2011-07-16|http://www.gutenberg.org/ebooks/36753
3949|Cinq Mars — Volume 3|2003-04-01|http://www.gutenberg.org/ebooks/3949
31272|Threads of Grey and Gold|2010-02-14|http://www.gutenberg.org/ebooks/31272
3200|The Entire Project Gutenberg Works of Mark Twain|2004-09-20|http://www.gutenberg.org/ebooks/3200
9078|Sanders' Union Fourth Reader Embracing a Full Exposition of the Principles of Rhetorical Reading; with Numerous Exercises for Practice, Both in Prose and Poetry, Various in Style, and Carefully Adapted to the Purposes of Teaching in Schools of Every Grade|2005-10-01|http://www.gutenberg.org/ebooks/9078
35842|Microscopes and Accessory Apparatus: Catalogue No. 40|2011-04-12|http://www.gutenberg.org/ebooks/35842
1765|Henry VI, Part 1|1999-06-01|http://www.gutenberg.org/ebooks/1765
39485|Ghosts and Family Legends: A Volume for Christmas|2012-04-19|http://www.gutenberg.org/ebooks/39485
17263|The Astonishing History of Troy Town|2005-12-09|http://www.gutenberg.org/ebooks/17263
5271|Marjorie's Vacation|2004-03-01|http://www.gutenberg.org/ebooks/5271
6949|Fiat Money Inflation in France: How it Came, What it Brought, and How it Ended|2004-11-01|http://www.gutenberg.org/ebooks/6949
3849|Memoirs of Madame la Marquise de Montespan — Volume 3|2004-12-02|http://www.gutenberg.org/ebooks/3849
14932|Punch, or the London Charivari, Volume 1, October 16, 1841|2005-02-07|http://www.gutenberg.org/ebooks/14932
32742|The Auto Boys' Mystery|2010-06-08|http://www.gutenberg.org/ebooks/32742
5290|Tales and Novels of J. de La Fontaine — Volume 16|2004-03-01|http://www.gutenberg.org/ebooks/5290
32499|To a Skull on My Bookshelf|2010-05-23|http://www.gutenberg.org/ebooks/32499
6475|Facts and Arguments for Darwin|2004-09-01|http://www.gutenberg.org/ebooks/6475
7197|The Adventures of Tom Sawyer, Part 5.|2004-06-30|http://www.gutenberg.org/ebooks/7197
36452|Encyclopaedia Britannica, 11th Edition, "Fairbanks, Erastus" to "Fens" Volume 10, Slice 2|2011-06-17|http://www.gutenberg.org/ebooks/36452
21066|Harry Escombe: A Tale of Adventure in Peru|2007-04-13|http://www.gutenberg.org/ebooks/21066
20402|Beside the Still Waters A Sermon|2007-01-20|http://www.gutenberg.org/ebooks/20402
32512|Historia Amoris: A History of Love, Ancient and Modern|2010-05-24|http://www.gutenberg.org/ebooks/32512
7821|The Attaché; or, Sam Slick in England — Volume 01|2005-04-01|http://www.gutenberg.org/ebooks/7821
25619|Mystic London; or, Phases of occult life in the metropolis|2008-05-27|http://www.gutenberg.org/ebooks/25619
38963|The History of the Negro Church|2012-02-23|http://www.gutenberg.org/ebooks/38963
14421|Wilson's Tales of the Borders and of Scotland, Volume 24|2004-12-22|http://www.gutenberg.org/ebooks/14421
19805|The Tale of Mr. Tod|2006-11-14|http://www.gutenberg.org/ebooks/19805
28533|The King's Post Being a volume of historical facts relating to the posts, mail coaches, coach roads, and railway mail services of and connected with the ancient city of Bristol from 1580 to the present time|2009-04-07|http://www.gutenberg.org/ebooks/28533
45810|Over Periscope Pond Letters from Two American Girls in Paris October 1916-January 1918|2014-05-29|http://www.gutenberg.org/ebooks/45810
45198|Tales of Our Coast|2014-03-24|http://www.gutenberg.org/ebooks/45198
43235|First on the Moon|2013-07-17|http://www.gutenberg.org/ebooks/43235
40719|Dodo Wonders--|2012-09-09|http://www.gutenberg.org/ebooks/40719
5513|Arachne — Volume 06|2004-04-01|http://www.gutenberg.org/ebooks/5513
26496|Rembrandt's Etching Technique: An Example|2008-08-31|http://www.gutenberg.org/ebooks/26496
29248|The Young Lady's Equestrian Manual|2009-06-26|http://www.gutenberg.org/ebooks/29248
8248|The World English Bible (WEB): Ecclesiastes|2005-06-01|http://www.gutenberg.org/ebooks/8248
41118|The Old Glade (Forbes's) Road (Pennsylvania State Road)|2012-10-20|http://www.gutenberg.org/ebooks/41118
22303|Personality in Literature|2007-08-13|http://www.gutenberg.org/ebooks/22303
7831|When London Burned : a Story of Restoration Times and the Great Fire|2005-04-01|http://www.gutenberg.org/ebooks/7831
43727|His Majesty Baby and Some Common People|2013-09-15|http://www.gutenberg.org/ebooks/43727
20428|Bertha and Her Baptism|2007-01-23|http://www.gutenberg.org/ebooks/20428
41493|The Quarterly of the Oregon Historical Society, Vol. IV March, 1903-December, 1903|2012-11-26|http://www.gutenberg.org/ebooks/41493
4939|Chopin : the Man and His Music|2004-01-01|http://www.gutenberg.org/ebooks/4939
2690|Coral Reefs|2001-06-01|http://www.gutenberg.org/ebooks/2690
