15095|Sherley, Douglass
40672|Fenn, George Manville
21884|Bennett, Charles H. (Charles Henry)
11093|Brand, Max
35135|Werner, E.
5324|Baring-Gould, S. (Sabine)
44438|Smith, Justin Harvey
26446|Goodell, Abner Cheney
52636|Ford, Ford Madox
1118|Shakespeare, William
25522|Hearnshaw, F. J. C. (Fossey John Cobb)
7564|Retz, Jean François Paul de Gondi de
21557|Marryat, Frederick
27436|Raine, William MacLeod
39725|Cary, Elisabeth Luther
11452|Various
18485|United States. Work Projects Administration
31293|Lynch, John D.
32603|Howe, Julia Ward
16057|Various
48778|Baum, L. Frank (Lyman Frank)
29934|Battison, Edwin A.
30769|Various
4306|Gissing, George
24198|Garrett, Randall
35864|Lever, Charles James
13574|Camp, Walter
21244|Young, Egerton Ryerson
32321|Shaara, Michael
39924|Machar, Agnes Maule
53544|Castlemon, Harry
412|Hubbard, Elbert
19831|Davis, Jefferson
17733|Crockett, S. R. (Samuel Rutherford)
2862|Harte, Bret
30877|Parkhurst, Daniel Burleigh
26760|Macduff, John R. (John Ross)
24537|Rains, George Washington
22606|Koopman, Harry Lyman
35008|Brainerd, Eleanor Hoyt
7394|Holmes, Oliver Wendell
6286|Parker, Gilbert
43607|Holland, Rupert Sargent
51435|Sharkey, Jack
23254|Catherwood, Mary Hartwell
32131|Clifton, Mark
21224|Beech, Franklin
6228|Parker, Gilbert
18782|Swinburne, Algernon Charles
39225|Rose, Joshua
16042|unknown
16363|Various
22143|Oppenheim, L. (Lassa)
13843|Illica, Luigi
28552|Baum, L. Frank (Lyman Frank)
56|Polly, Jean Armour
15650|Various
6564|Molière
5909|Cervantes Saavedra, Miguel de
17545|McClelland, M. G. (Mary Greenway)
40480|Altsheler, Joseph A. (Joseph Alexander)
18914|Various
17981|Gregory, Jackson
18193|Long, William J. (William Joseph)
2815|Adams, Henry
40283|Andersen, H. C. (Hans Christian)
5773|MacDonald, George
8680|Taylor, Bayard
27354|Simpson, James Young
20287|Carr, E. Donald (Edmund Donald)
28889|Perkins, Lucy Fitch
27882|Gardner, Monica M. (Monica Mary)
8903|Various
6634|McGee, Thomas D'Arcy
11088|Ainger, Alfred
16437|Royce, Ruth
26518|Reynolds, James, active 1812
40125|Hungerford, Edward
41229|Le Fanu, Joseph Sheridan
