41718|Bowen, Robert Sidney
45209|Marston, John
42003|Various
42853|Various
42789|Various
4734|Bennett, Arnold
44586|O'Shaughnessy, Edith
41563|Macdonell, Arthur Anthony
40033|Wirt, Mildred A. (Mildred Augustine)
41633|Baxter, Richard
43720|White, Mary
42050|Bennet, Robert Ames
43382|Various
40993|Jones, Neil R.
43367|Drake, James, active 1825
41021|Blackmore, R. D. (Richard Doddridge)
41785|Bayley, Harold
46852|Maher, Richard Aumerle
46904|Dawson, William Harbutt
4450|Meredith, George
48974|Jacobs, Joseph
40241|Machen, Arthur
40722|Wirt, Mildred A. (Mildred Augustine)
40729|Scott, Charles Augustus
43879|Fulton, Edwin Giles
40492|Nerval, Gérard de
47151|Murasaki Shikibu
4403|Meredith, George
41077|De Vere, Aubrey
41927|Revell, James
46944|Seklemian, A. K.
47179|Matthews, Stanley R.
4489|Meredith, George
46079|Haddon, Alfred C. (Alfred Cort)
42991|Thurston, Edgar
45828|Austrian, Delia
46190|Bush, Bertha Evangeline
44582|Bateson, William
43124|Stobart, M. A. (Mabel Annie)
44655|Baxter, Richard
40385|Harris, Miriam Coles
41086|Blackburn, Henry
44632|Freeman, Lewis R. (Lewis Ransome)
45660|Dacus, J. A. (Joseph A.)
41800|Buick, Thomas Lindsay
4119|Pepys, Samuel
41759|Tucker, George Fox
40078|Flynt, Josiah
45983|Neally, Amy
45570|Stannus, Graydon, Mrs.
47149|Anonymous
43076|Stowe, Harriet Beecher
40836|Le Queux, William
44425|Brabourne, Edward Hugessen Knatchbull-Hugessen, Baron
43722|Various
44522|Ainsworth, William Harrison
466|Steinmetz, Andrew
41775|Baring-Gould, S. (Sabine)
45714|Talbot, Frederick Arthur Ambrose
42417|Strang, Herbert
4491|Meredith, George
44331|Duckworth, W. L. H. (Wynfrid Laurence Henry)
45733|Morris, Charles
43795|Vámbéry, Ármin
40931|Omond, George W. T. (George William Thomson)
46596|Various
43256|Snell, Roy J. (Roy Judson)
42165|Moodie, Susanna
4600|Howells, William Dean
46700|unknown
4518|Wharton, Edith
4825|Motley, John Lothrop
44566|Wright, Thomas
41437|Ozaki, Yei Theodora
4053|Yonge, Charlotte M. (Charlotte Mary)
40967|Chandler, Walter M. (Walter Marion)
44990|Sleeman, Charles William
49727|Sargent, Antony
