Davis, Foxcroft|1860
Karasowski, Maurycy|1823
Dumas, Alexandre|1802
Fleagle, Fred K.|NULL
Jordan, Elizabeth Garver|1867
Keller, Elizabeth Leavitt|1839
Whittles, Thomas D. (Thomas Davis)|1873
Various|NULL
Cleland, Robert|NULL
Garis, Howard Roger|1873
Gissing, George|1857
Rosen, Erwin|1876
Burgess, Gelett|1866
Forwood, William Bower, Sir|1840
Benson, Arthur Christopher|1862
Jahn, Otto|1813
Motley, John Lothrop|1814
Blackie & Son|NULL
Cooper, A. Heaton (Alfred Heaton)|1863
Weston, Jessie L. (Jessie Laidlay)|1850
Various|NULL
Hibberd, Shirley|1825
Baughan, Rosa|NULL
Burroughs, John|1837
Schmeckebier, Laurence Frederick|1877
Brownlie, John|1857
Williams, Archibald|1871
Mills, Enos A.|1870
Various|NULL
Watson, William, Sir|1715
Aikman, William|1824
Oldmeadow, Ernest|1867
Russell, William Howard, Sir|1820
Various|NULL
unknown|NULL
Buckstone, John Baldwin|1802
Le Queux, William|1864
Various|NULL
Newcomb, Ambrose|NULL
Ames, Azel|1845
Upton, George P. (George Putnam)|1834
Cruikshank, Robert|1789
unknown|NULL
Paris, John Ayrton|1785
Ridge, Lola|1873
St. John, Thomas M. (Thomas Matthew)|1865
Gautier, Judith|1845
Drummond, William Henry|1854
Leech, John|1817
Adams, John|1859
Bensusan, S. L. (Samuel Levy)|1872
Hanshew, Thomas W.|1857
Bancroft, Edith|NULL
Allen, E. P. S.|1885
Muther, Richard|1860
Cobb, Irvin S. (Irvin Shrewsbury)|1876
Hinton, A. Horsley (Alfred Horsley)|1863
Stone, J. M. (Jean Mary)|1853
Keightley, Thomas|1789
Bryce, Charles, Mrs.|NULL
Weale, J. Cyril M. (James Cyril M.)|1832
Beveridge, Albert J. (Albert Jeremiah)|1862
Galt, John|1779
Gaboriau, Emile|1832
Motley, John Lothrop|1814
Alger, Horatio, Jr.|1832
Thorne, Guy|1875
Haeckel, Ernst|1834
Hope, Laura Lee|NULL
Chase, Mary Ellen|1887
Wirt, Mildred A. (Mildred Augustine)|1905
Otis, James|1848
Lamplough, Edward|NULL
Hornung, E. W. (Ernest William)|1866
Crawford, F. Marion (Francis Marion)|1854
Meredith, George|1828
Adams, F. Colburn (Francis Colburn)|NULL
Bentham, Jeremy|1748
Barnes, Frank|NULL
Mangasarian, M. M. (Mangasar Mugurditch)|1859
Dexter, Timothy|1747
Leighton, Alexander|1800
Schlegel, Friedrich von|1772
Anonymous|NULL
Crastre, François|NULL
Douglas, Amanda M.|1831
Grinnell, George Bird|1849
Kerlin, Robert Thomas|1866
Herrington, Walter Stevens|1860
Bagwell, Richard|1840
Wyeth, John B. (John Bound)|1815
Catherine II, Empress of Russia|1729
Walker, James|1794
Wells, Samuel R. (Samuel Roberts)|1820
Dix, Irving Sidney|1880
Kelland, Clarence Budington|1881
Ward, J. H. (Joseph Harvey)|NULL
Le Queux, William|1864
Snell, Roy J. (Roy Judson)|1878
Various|NULL
Voleur|NULL
Church, Alfred John|1829
Hope, Anthony|1863
Le Queux, William|1864
Young, Filson|1876
Peard, Frances Mary|1835
Grinnell, George Bird|1849
Applin, Arthur|1873
Smith, George Adam|1856
Fox, Frances Margaret|1870
Young, Filson|1876
Thompson, Arthur R. (Arthur Ripley)|1872
Barkley, Henry C.|NULL
Matthews, Stanley R.|NULL
Leinster, Murray|1896
Meade, L. T.|1854
Atkinson, William Walker|1862
Le Queux, William|1864
Anonymous|NULL
White, James Edson|1849
Donelan, A. M.|NULL
Pepys, Samuel|1633
Bensusan, S. L. (Samuel Levy)|1872
Various|NULL
Hornung, E. W. (Ernest William)|1866
Le Sueur, Gordon|1874
Motley, John Lothrop|1814
Penrose, Charles W. (Charles William)|1832
unknown|NULL
Henty, G. A. (George Alfred)|1832
unknown|NULL
Conrad, Joseph|1857
unknown|NULL
Sheridan, Frances Chamberlaine|1724
Grahame-White, Claude|1879
Gayley, Charles Mills|1858
Blades, William|1824
Dods, Marcus|1834
Merwin, Sam|1910
Holland, E. G. (Elihu Goodwin)|1817
Einhard|NULL
unknown|NULL
Arthur, T. S. (Timothy Shay)|1809
Lindsay, Vachel|1879
Baum, L. Frank (Lyman Frank)|1856
Fosdick, Harry Emerson|1878
Bryan, William Jennings|1860
Hazelton, Harry|NULL
Alcott, Louisa May|1832
Hines, Neal O.|NULL
United States. Warren Commission|NULL
Reynolds, Joshua, Sir|1723
Hewlett, Albion Walter|1874
Wheeler, Ruthe S.|NULL
Various|NULL
Dewey, Byrd Spilman|1856
Sturt, Charles|1795
Cocker, B. F. (Benjamin Franklin)|1821
Finley, Martha|1828
Massachusetts. General Court. Committee on Railways and Canals|NULL
Vaughan, Alfred J.|1830
unknown|NULL
Quaritch, Bernard|1819
Strindberg, August|1849
Blackmore, R. D. (Richard Doddridge)|1825
Chateaubriand, François-René, vicomte de|1768
Thorpe, William Henry|NULL
unknown|NULL
Gissing, George|1857
Lavell, Edith|NULL
Standish, Burt L.|1866
Mary-Lafon, Jean Bernard Lafon, called|1812
Strang, Herbert|NULL
unknown|NULL
Hume, Fergus|1859
Taylor, Jane|1783
Young, Filson|1876
Various|NULL
Hume, Fergus|1859
Dellenbaugh, Frederick Samuel|1853
Pepys, Samuel|1633
Merle d'Aubigné, J. H. (Jean Henri)|1794
Blake, William|1757
Hauksbee, Francis|1687
Otis, James|1848
Butler, Ellis Parker|1869
Little, Archibald, Mrs.|1845
Murphy, Thos. D. (Thomas Dowler)|1866
Decle, Lionel|1859
Vielé, Herman Knickerbocker|1856
Boynton, Percy Holmes|1875
Stoker, Bram|1847
Stawell, Rodolph, Mrs.|NULL
Burnett, Frances Hodgson|1849
Various|NULL
